날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,23:01,지출,온라인쇼핑,인터넷쇼핑,무신사,-47100,KRW,토스뱅크 체크카드,,P145,P145-T0031,소비,P145-CARD-03,card/카드-008-토스뱅크_체크카드_승인내역.json#AP145000002;card/카드-014-토스뱅크_체크카드_매입정보.json#AP145000002
2026-06-30,20:55,지출,카페/간식,디저트/떡,파리바게뜨,-3700,KRW,KB 청춘대로 체크카드,,P145,P145-T0018,소비,P145-CARD-01,card/카드-008-KB_청춘대로_체크카드_승인내역.json#AP145000002;card/카드-014-KB_청춘대로_체크카드_매입정보.json#AP145000002
2026-06-30,20:30,지출,생활,편의점,GS25,-59400,KRW,카카오뱅크 입출금통장,,P145,P145-T0034,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500017
2026-06-30,20:28,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-71600,KRW,KB 청춘대로 체크카드,,P145,P145-T0057,소비,P145-CARD-01,card/카드-008-KB_청춘대로_체크카드_승인내역.json#AP145000007;card/카드-014-KB_청춘대로_체크카드_매입정보.json#AP145000007
2026-06-30,17:49,지출,패션/쇼핑,패션,무신사,-126900,KRW,카카오페이 간편결제,,P145,P145-T0090,소비,P145-카카오페이,efinance/전금-103-카카오페이.json#EP145카00009
2026-06-30,12:58,지출,식비,배달,쿠팡이츠,-12700,KRW,토스 간편결제,,P145,P145-T0046,소비,P145-토스페이,efinance/전금-103-토스페이.json#EP145토00002
2026-06-30,12:43,지출,식비,한식,김밥천국 홍대점,-27200,KRW,카카오뱅크 입출금통장,,P145,P145-T0029,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500016
2026-06-30,11:41,지출,식비,한식,두끼 노량진역점,-26600,KRW,KB 청춘대로 체크카드,,P145,P145-T0042,소비,P145-CARD-01,card/카드-008-KB_청춘대로_체크카드_승인내역.json#AP145000005;card/카드-014-KB_청춘대로_체크카드_매입정보.json#AP145000005
2026-06-30,11:06,지출,카페/간식,디저트/떡,파리바게뜨,-9600,KRW,하나 원더 체크카드,,P145,P145-T0039,소비,P145-CARD-02,card/카드-008-하나_원더_체크카드_승인내역.json#AP145000006;card/카드-014-하나_원더_체크카드_매입정보.json#AP145000006
2026-06-30,09:34,지출,문화/여가,공연/영화,메가박스,-25000,KRW,하나 원더 체크카드,,P145,P145-T0058,소비,P145-CARD-02,card/카드-008-하나_원더_체크카드_승인내역.json#AP145000009;card/카드-014-하나_원더_체크카드_매입정보.json#AP145000009
2026-06-29,20:13,지출,카페/간식,디저트/떡,노티드,-10500,KRW,카카오뱅크 입출금통장,,P145,P145-T0015,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500013
2026-06-29,18:37,지출,생활,편의점,이마트24,-86700,KRW,하나 원더 체크카드,,P145,P145-T0060,소비,P145-CARD-02,card/카드-008-하나_원더_체크카드_승인내역.json#AP145000010;card/카드-014-하나_원더_체크카드_매입정보.json#AP145000010
2026-06-29,17:23,지출,생활,편의점,이마트24,-58500,KRW,토스뱅크 체크카드,,P145,P145-T0062,소비,P145-CARD-03,card/카드-008-토스뱅크_체크카드_승인내역.json#AP145000005;card/카드-014-토스뱅크_체크카드_매입정보.json#AP145000005
2026-06-29,08:46,지출,식비,배달,요기요,-22300,KRW,카카오뱅크 입출금통장,,P145,P145-T0096,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500032
2026-06-28,19:26,지출,생활,마트,홈플러스,-45300,KRW,하나 원더 체크카드,취향소비,P145,P145-T0022,소비,P145-CARD-02,card/카드-008-하나_원더_체크카드_승인내역.json#AP145000004;card/카드-014-하나_원더_체크카드_매입정보.json#AP145000004
2026-06-28,18:56,지출,카페/간식,커피/음료,스타벅스 합정점,-10600,KRW,토스 간편결제,,P145,P145-T0055,소비,P145-토스페이,efinance/전금-103-토스페이.json#EP145토00003
2026-06-28,12:48,이체,저축,예적금/청약,적금 자동이체,-210000,KRW,카카오뱅크 입출금통장,,P145,P145-T0009,저축,P145-BANK-MAIN->P145-BANK-SAVE,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500008;bank/은행-004-비상금_통장_P145-BANK-SAVE.json#BP14500001
2026-06-28,11:04,이체,저축,예적금/청약,비상금 이체,-70000,KRW,카카오뱅크 입출금통장,,P145,P145-T0011,저축,P145-BANK-MAIN->P145-BANK-SAVE,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500010;bank/은행-004-비상금_통장_P145-BANK-SAVE.json#BP14500002
2026-06-28,08:04,지출,교통,대중교통,티머니,-12800,KRW,카카오뱅크 입출금통장,,P145,P145-T0036,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500018
2026-06-27,16:04,지출,문화/여가,공연/영화,인터파크티켓,-37900,KRW,카카오페이 간편결제,,P145,P145-T0026,소비,P145-카카오페이,efinance/전금-103-카카오페이.json#EP145카00003
2026-06-27,10:59,지출,생활,편의점,CU,-73000,KRW,하나 원더 체크카드,취향소비,P145,P145-T0041,소비,P145-CARD-02,card/카드-008-하나_원더_체크카드_승인내역.json#AP145000007;card/카드-014-하나_원더_체크카드_매입정보.json#AP145000007
2026-06-27,09:02,지출,생활,편의점,GS25,-30200,KRW,카카오페이 간편결제,,P145,P145-T0044,소비,P145-카카오페이,efinance/전금-103-카카오페이.json#EP145카00005
2026-06-26,23:07,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-75200,KRW,카카오뱅크 입출금통장,,P145,P145-T0049,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500021
2026-06-26,20:29,지출,식비,배달,요기요,-37000,KRW,토스 간편결제,,P145,P145-T0045,소비,P145-토스페이,efinance/전금-103-토스페이.json#EP145토00001
2026-06-26,16:27,지출,생활,마트,마켓컬리,-35900,KRW,하나 원더 체크카드,,P145,P145-T0088,소비,P145-CARD-02,card/카드-008-하나_원더_체크카드_승인내역.json#AP145000015;card/카드-014-하나_원더_체크카드_매입정보.json#AP145000015
2026-06-26,12:23,지출,카페/간식,커피/음료,이디야커피,-5400,KRW,카카오뱅크 입출금통장,,P145,P145-T0072,소비,P145-BANK-MAIN,bank/은행-004-카카오뱅크_입출금통장_P145-BANK-MAIN.json#BP14500027
2026-06-26,11:51,지출,식비,배달,배민스토어,-25000,KRW,KB 청춘대로 체크카드,,P145,P145-T0021,소비,P145-CARD-01,card/카드-008-KB_청춘대로_체크카드_승인내역.json#AP145000003;card/카드-014-KB_청춘대로_체크카드_매입정보.json#AP145000003
