날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,23:53,지출,생활,편의점,GS25,-35400,KRW,NH주거래우대통장,,P045,P045-T0122,소비,P045-BANK-MAIN,bank/은행-004-NH주거래우대통장_P045-BANK-MAIN.json#BP04500028
2026-06-30,21:24,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-46100,KRW,프렌즈 체크카드,,P045,P045-T0123,소비,P045-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP045000029;card/카드-014-프렌즈_체크카드_매입정보.json#AP045000029
2026-06-30,20:53,지출,식비,한식,두끼 노량진역점,-18100,KRW,프렌즈 체크카드,,P045,P045-T0015,소비,P045-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP045000002;card/카드-014-프렌즈_체크카드_매입정보.json#AP045000002
2026-06-30,18:30,지출,카페/간식,커피/음료,메가MGC커피,-6300,KRW,네이버페이 간편결제,,P045,P045-T0072,소비,P045-네이버페이,efinance/전금-103-네이버페이.json#EP045네00007;efinance/전금-004-네이버페이_머니.json#WP04500003
2026-06-30,11:45,지출,생활,편의점,GS25,-27800,KRW,카카오페이 간편결제,,P045,P045-T0025,소비,P045-카카오페이,efinance/전금-103-카카오페이.json#EP045카00002
2026-06-30,08:22,지출,교통,택시,타다,-10000,KRW,프렌즈 체크카드,,P045,P045-T0020,소비,P045-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP045000005;card/카드-014-프렌즈_체크카드_매입정보.json#AP045000005
2026-06-29,20:18,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-25700,KRW,네이버페이 간편결제,,P045,P045-T0048,소비,P045-네이버페이,efinance/전금-103-네이버페이.json#EP045네00003
2026-06-29,18:12,지출,교통,대중교통,모바일티머니,-24500,KRW,카카오페이 간편결제,,P045,P045-T0099,소비,P045-카카오페이,efinance/전금-103-카카오페이.json#EP045카00012
2026-06-29,10:39,지출,패션/쇼핑,패션,지그재그,-114800,KRW,토스 간편결제,,P045,P045-T0024,소비,P045-토스페이,efinance/전금-103-토스페이.json#EP045토00001
2026-06-29,09:20,지출,교통,대중교통,모바일티머니,-17800,KRW,네이버페이 간편결제,,P045,P045-T0061,소비,P045-네이버페이,efinance/전금-103-네이버페이.json#EP045네00005
