날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,23:58,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-28700,KRW,프렌즈 체크카드,예산 내 소비,P126,P126-T0034,소비,P126-CARD-02,card/카드-008-프렌즈_체크카드_승인내역.json#AP126000005;card/카드-014-프렌즈_체크카드_매입정보.json#AP126000005
2026-06-30,21:11,지출,식비,한식,담소소사골순대,-8400,KRW,KB Star 청춘통장,,P126,P126-T0030,소비,P126-BANK-MAIN,bank/은행-004-KB_Star_청춘통장_P126-BANK-MAIN.json#BP12600012
2026-06-30,19:34,지출,생활,마트,이마트,-33800,KRW,토스뱅크 체크카드,,P126,P126-T0118,소비,P126-CARD-01,card/카드-008-토스뱅크_체크카드_승인내역.json#AP126000027;card/카드-014-토스뱅크_체크카드_매입정보.json#AP126000027
2026-06-30,19:12,지출,식비,한식,담소소사골순대,-18300,KRW,토스뱅크 체크카드,,P126,P126-T0099,소비,P126-CARD-01,card/카드-008-토스뱅크_체크카드_승인내역.json#AP126000022;card/카드-014-토스뱅크_체크카드_매입정보.json#AP126000022
2026-06-30,18:51,지출,문화/여가,도서,교보문고,-19500,KRW,KB Star 청춘통장,,P126,P126-T0070,소비,P126-BANK-MAIN,bank/은행-004-KB_Star_청춘통장_P126-BANK-MAIN.json#BP12600022
2026-06-30,18:45,지출,교통,대중교통,카카오버스,-13300,KRW,카카오페이 간편결제,,P126,P126-T0022,소비,P126-카카오페이,efinance/전금-103-카카오페이.json#EP126카00003
2026-06-30,11:24,지출,식비,배달,쿠팡이츠,-11900,KRW,카카오페이 간편결제,,P126,P126-T0113,소비,P126-카카오페이,efinance/전금-103-카카오페이.json#EP126카00016;efinance/전금-004-카카오페이_머니.json#WP12600007
2026-06-29,23:41,지출,교통,대중교통,모바일티머니,-18000,KRW,토스 간편결제,,P126,P126-T0106,소비,P126-토스페이,efinance/전금-103-토스페이.json#EP126토00008
2026-06-29,12:35,지출,패션/쇼핑,패션,에이블리,-39200,KRW,카카오페이 간편결제,,P126,P126-T0091,소비,P126-카카오페이,efinance/전금-103-카카오페이.json#EP126카00013;efinance/전금-004-카카오페이_머니.json#WP12600005
2026-06-28,21:11,지출,생활,서비스구독,노션,-32400,KRW,토스뱅크 체크카드,,P126,P126-T0035,소비,P126-CARD-01,card/카드-008-토스뱅크_체크카드_승인내역.json#AP126000009;card/카드-014-토스뱅크_체크카드_매입정보.json#AP126000009
2026-06-28,17:26,수입,금융수입,캐시백,카드 캐시백,883,KRW,KB Star 청춘통장,,P126,P126-T0003,소득,P126-BANK-MAIN,bank/은행-004-KB_Star_청춘통장_P126-BANK-MAIN.json#BP12600003
2026-06-28,14:06,이체,저축,예적금/청약,적금 자동이체,-960000,KRW,KB Star 청춘통장,,P126,P126-T0008,저축,P126-BANK-MAIN->P126-BANK-SAVE,bank/은행-004-KB_Star_청춘통장_P126-BANK-MAIN.json#BP12600006;bank/은행-004-비상금_통장_P126-BANK-SAVE.json#BP12600001
2026-06-28,11:46,지출,카페/간식,디저트/떡,배스킨라빈스,-6200,KRW,토스뱅크 체크카드,,P126,P126-T0087,소비,P126-CARD-01,card/카드-008-토스뱅크_체크카드_승인내역.json#AP126000020;card/카드-014-토스뱅크_체크카드_매입정보.json#AP126000020
2026-06-28,08:24,지출,교통,대중교통,티머니,-7600,KRW,카카오페이 간편결제,,P126,P126-T0033,소비,P126-카카오페이,efinance/전금-103-카카오페이.json#EP126카00004;efinance/전금-004-카카오페이_머니.json#WP12600001
2026-06-28,08:16,지출,교통,택시,카카오T 택시,-6800,KRW,토스 간편결제,,P126,P126-T0079,소비,P126-토스페이,efinance/전금-103-토스페이.json#EP126토00005
2026-06-27,21:22,지출,식비,한식,김밥천국 홍대점,-17100,KRW,네이버페이 간편결제,,P126,P126-T0027,소비,P126-네이버페이,efinance/전금-103-네이버페이.json#EP126네00002
2026-06-27,15:12,지출,생활,마트,홈플러스,-23800,KRW,KB Star 청춘통장,,P126,P126-T0044,소비,P126-BANK-MAIN,bank/은행-004-KB_Star_청춘통장_P126-BANK-MAIN.json#BP12600016
2026-06-27,11:02,지출,생활,서비스구독,멜론,-30000,KRW,프렌즈 체크카드,,P126,P126-T0117,소비,P126-CARD-02,card/카드-008-프렌즈_체크카드_승인내역.json#AP126000023;card/카드-014-프렌즈_체크카드_매입정보.json#AP126000023
