날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,12:23,지출,카페/간식,커피/음료,컴포즈커피,-5500,KRW,하나핀크 생활통장,,P040,P040-T0018,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000012
2026-06-30,08:24,지출,교통,대중교통,모바일티머니,-15000,KRW,하나핀크 생활통장,,P040,P040-T0081,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000026
2026-06-29,23:21,지출,교육/학습,학원/강의,인프런,-44700,KRW,토스 간편결제,,P040,P040-T0087,소비,P040-토스페이,efinance/전금-103-토스페이.json#EP040토00010
2026-06-29,21:40,지출,생활,서비스구독,멜론,-22800,KRW,토스 간편결제,,P040,P040-T0034,소비,P040-토스페이,efinance/전금-103-토스페이.json#EP040토00004
2026-06-29,18:13,지출,문화/여가,도서,알라딘,-40300,KRW,네이버페이 간편결제,,P040,P040-T0050,소비,P040-네이버페이,efinance/전금-103-네이버페이.json#EP040네00003
2026-06-29,13:22,지출,생활,편의점,CU,-61600,KRW,카카오페이 간편결제,,P040,P040-T0035,소비,P040-카카오페이,efinance/전금-103-카카오페이.json#EP040카00003
2026-06-29,09:29,지출,식비,한식,한솥도시락 신촌점,-15100,KRW,신한 Deep Dream 체크,,P040,P040-T0027,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000010;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000010
2026-06-28,18:13,지출,식비,한식,담소소사골순대,-10200,KRW,신한 Deep Dream 체크,,P040,P040-T0045,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000016;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000016
2026-06-28,12:20,지출,문화/여가,공연/영화,메가박스,-21900,KRW,네이버페이 간편결제,,P040,P040-T0066,소비,P040-네이버페이,efinance/전금-103-네이버페이.json#EP040네00004;efinance/전금-004-네이버페이_머니.json#WP04000002
2026-06-27,21:49,지출,생활,마트,이마트,-11700,KRW,신한 Deep Dream 체크,,P040,P040-T0022,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000008;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000008
2026-06-27,18:07,지출,교육/학습,학원/강의,해커스,-128000,KRW,토스 간편결제,,P040,P040-T0040,소비,P040-토스페이,efinance/전금-103-토스페이.json#EP040토00006
2026-06-27,12:49,지출,식비,배달,요기요,-17800,KRW,신한 Deep Dream 체크,,P040,P040-T0052,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000020;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000020
2026-06-26,20:53,지출,생활,편의점,세븐일레븐,-23500,KRW,신한 Deep Dream 체크,,P040,P040-T0076,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000033;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000033
2026-06-26,09:08,지출,식비,배달,쿠팡이츠,-15800,KRW,신한 Deep Dream 체크,,P040,P040-T0024,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000009;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000009
2026-06-25,18:02,이체,저축,예적금/청약,청약 납입,-10000,KRW,하나핀크 생활통장,,P040,P040-T0009,저축,P040-BANK-MAIN->P040-BANK-HOUSING,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000008;bank/은행-004-주택청약종합저축_P040-BANK-HOUSING.json#BP04000001
2026-06-25,13:54,지출,생활,서비스구독,넷플릭스,-33300,KRW,카카오페이 간편결제,,P040,P040-T0089,소비,P040-카카오페이,efinance/전금-103-카카오페이.json#EP040카00010
2026-06-25,11:54,이체,저축,예적금/청약,적금 자동이체,-30000,KRW,하나핀크 생활통장,,P040,P040-T0008,저축,P040-BANK-MAIN->P040-BANK-SAVE,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000007;bank/은행-004-저축예금_P040-BANK-SAVE.json#BP04000001
2026-06-24,21:25,지출,문화/여가,도서,교보문고,-21600,KRW,카카오페이 간편결제,,P040,P040-T0046,소비,P040-카카오페이,efinance/전금-103-카카오페이.json#EP040카00006;efinance/전금-004-카카오페이_머니.json#WP04000002
2026-06-24,18:13,지출,카페/간식,디저트/떡,배스킨라빈스,-4400,KRW,신한 Deep Dream 체크,,P040,P040-T0036,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000013;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000013
2026-06-24,10:24,지출,문화/여가,도서,알라딘,-26500,KRW,신한 Deep Dream 체크,,P040,P040-T0063,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000028;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000028
2026-06-24,08:03,지출,카페/간식,디저트/떡,던킨,-5200,KRW,하나핀크 생활통장,,P040,P040-T0056,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000017
2026-06-23,18:09,지출,생활,통신,휴대폰 요금,-81400,KRW,하나핀크 생활통장,,P040,P040-T0005,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000005
2026-06-23,11:59,지출,교육/학습,학원/강의,해커스,-49600,KRW,신한 Deep Dream 체크,,P040,P040-T0074,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000032;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000032
2026-06-22,23:58,지출,교통,택시,카카오T 택시,-11200,KRW,신한 Deep Dream 체크,,P040,P040-T0058,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000024;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000024
2026-06-22,18:29,지출,카페/간식,커피/음료,이디야커피,-4800,KRW,하나핀크 생활통장,,P040,P040-T0062,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000019
2026-06-22,17:10,지출,생활,서비스구독,챗GPT,-39100,KRW,토스 간편결제,,P040,P040-T0070,소비,P040-토스페이,efinance/전금-103-토스페이.json#EP040토00008
2026-06-22,11:13,지출,교육/학습,학원/강의,클래스101,-32000,KRW,토스 간편결제,,P040,P040-T0025,소비,P040-토스페이,efinance/전금-103-토스페이.json#EP040토00001
2026-06-22,09:21,지출,식비,한식,한솥도시락 신촌점,-9400,KRW,신한 Deep Dream 체크,,P040,P040-T0055,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000023;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000023
2026-06-21,23:48,지출,온라인쇼핑,인터넷쇼핑,무신사,-39300,KRW,하나핀크 생활통장,,P040,P040-T0065,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000021
2026-06-20,20:38,지출,금융,보험,실손보험료,-93800,KRW,하나핀크 생활통장,,P040,P040-T0007,소비,P040-BANK-MAIN,bank/은행-004-하나핀크_생활통장_P040-BANK-MAIN.json#BP04000006
2026-06-20,18:09,지출,교육/학습,학원/강의,인프런,-83700,KRW,신한 Deep Dream 체크,,P040,P040-T0069,소비,P040-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP040000029;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP040000029
