날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,18:18,지출,교통,대중교통,모바일티머니,-5600,KRW,토스뱅크 통장,,P134,P134-T0111,소비,P134-BANK-MAIN,bank/은행-004-토스뱅크_통장_P134-BANK-MAIN.json#BP13400021
2026-06-30,17:31,지출,생활,편의점,GS25,-36300,KRW,토스뱅크 체크카드,,P134,P134-T0086,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000019;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000019
2026-06-30,13:25,지출,생활,편의점,세븐일레븐,-56100,KRW,토스뱅크 통장,,P134,P134-T0023,소비,P134-BANK-MAIN,bank/은행-004-토스뱅크_통장_P134-BANK-MAIN.json#BP13400014
2026-06-30,10:11,지출,온라인쇼핑,인터넷쇼핑,11번가,-39900,KRW,토스뱅크 통장,,P134,P134-T0119,소비,P134-BANK-MAIN,bank/은행-004-토스뱅크_통장_P134-BANK-MAIN.json#BP13400023
2026-06-29,17:18,지출,생활,편의점,GS25,-96800,KRW,카카오페이 간편결제,,P134,P134-T0128,소비,P134-카카오페이,efinance/전금-103-카카오페이.json#EP134카00013
2026-06-29,14:05,지출,생활,편의점,CU,-12300,KRW,토스뱅크 체크카드,,P134,P134-T0083,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000018;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000018
2026-06-29,13:08,지출,식비,한식,담소소사골순대,-19000,KRW,토스 간편결제,,P134,P134-T0072,소비,P134-토스페이,efinance/전금-103-토스페이.json#EP134토00006
2026-06-29,12:00,지출,온라인쇼핑,인터넷쇼핑,쿠팡,-73200,KRW,토스뱅크 체크카드,,P134,P134-T0050,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000009;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000009
2026-06-29,11:11,지출,생활,서비스구독,멜론,-81900,KRW,토스 간편결제,,P134,P134-T0041,소비,P134-토스페이,efinance/전금-103-토스페이.json#EP134토00003
2026-06-28,21:01,지출,식비,한식,김밥천국 홍대점,-20300,KRW,신한 Deep Dream 체크,,P134,P134-T0109,소비,P134-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP134000020;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP134000020
2026-06-28,19:49,지출,카페/간식,커피/음료,메가MGC커피,-6600,KRW,네이버페이 간편결제,,P134,P134-T0117,소비,P134-네이버페이,efinance/전금-103-네이버페이.json#EP134네00010;efinance/전금-004-네이버페이_머니.json#WP13400003
2026-06-28,12:49,이체,저축,예적금/청약,청약 납입,-50000,KRW,토스뱅크 통장,,P134,P134-T0009,저축,P134-BANK-MAIN->P134-BANK-HOUSING,bank/은행-004-토스뱅크_통장_P134-BANK-MAIN.json#BP13400007;bank/은행-004-주택청약종합저축_P134-BANK-HOUSING.json#BP13400001
2026-06-28,11:21,지출,식비,배달,요기요,-21400,KRW,신한 Deep Dream 체크,,P134,P134-T0016,소비,P134-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP134000001;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP134000001
2026-06-27,18:11,지출,식비,배달,쿠팡이츠,-24200,KRW,토스뱅크 통장,,P134,P134-T0103,소비,P134-BANK-MAIN,bank/은행-004-토스뱅크_통장_P134-BANK-MAIN.json#BP13400019
2026-06-27,14:37,지출,생활,편의점,CU,-75100,KRW,토스뱅크 체크카드,,P134,P134-T0116,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000026;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000026
2026-06-27,08:49,지출,식비,한식,두끼 노량진역점,-13000,KRW,토스뱅크 체크카드,,P134,P134-T0039,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000005;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000005
2026-06-26,21:48,지출,온라인쇼핑,인터넷쇼핑,오늘의집,-92600,KRW,카카오페이 간편결제,취향소비,P134,P134-T0027,소비,P134-카카오페이,efinance/전금-103-카카오페이.json#EP134카00004
2026-06-26,21:19,지출,패션/쇼핑,패션,지그재그,-27800,KRW,토스뱅크 체크카드,,P134,P134-T0037,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000004;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000004
2026-06-26,21:17,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-77600,KRW,카카오페이 간편결제,,P134,P134-T0015,소비,P134-카카오페이,efinance/전금-103-카카오페이.json#EP134카00002
2026-06-25,16:14,지출,생활,마트,마켓컬리,-39800,KRW,토스뱅크 통장,,P134,P134-T0120,소비,P134-BANK-MAIN,bank/은행-004-토스뱅크_통장_P134-BANK-MAIN.json#BP13400024
2026-06-25,13:01,지출,카페/간식,커피/음료,컴포즈커피,-6600,KRW,토스뱅크 체크카드,,P134,P134-T0077,소비,P134-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP134000017;card/카드-014-토스뱅크_체크카드_매입정보.json#AP134000017
2026-06-25,12:19,지출,식비,한식,한솥도시락 신촌점,-15300,KRW,신한 Deep Dream 체크,,P134,P134-T0061,소비,P134-CARD-01,card/카드-008-신한_Deep_Dream_체크_승인내역.json#AP134000009;card/카드-014-신한_Deep_Dream_체크_매입정보.json#AP134000009
