날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,21:16,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-74300,KRW,프렌즈 체크카드,,P070,P070-T0066,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000028;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000028
2026-06-30,20:29,지출,패션/쇼핑,패션,29CM,-40800,KRW,프렌즈 체크카드,,P070,P070-T0035,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000012;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000012
2026-06-30,16:12,지출,문화/여가,도서,예스24,-27400,KRW,프렌즈 체크카드,,P070,P070-T0093,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000044;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000044
2026-06-30,09:00,지출,식비,한식,김밥천국 홍대점,-19100,KRW,토스뱅크 통장,,P070,P070-T0075,소비,P070-BANK-MAIN,bank/은행-004-토스뱅크_통장_P070-BANK-MAIN.json#BP07000028
2026-06-30,08:02,지출,식비,한식,담소소사골순대,-26400,KRW,프렌즈 체크카드,,P070,P070-T0052,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000020;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000020
2026-06-29,21:41,지출,온라인쇼핑,인터넷쇼핑,무신사,-51600,KRW,프렌즈 체크카드,,P070,P070-T0059,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000023;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000023
2026-06-29,19:45,지출,카페/간식,디저트/떡,던킨,-4400,KRW,네이버페이 간편결제,,P070,P070-T0033,소비,P070-네이버페이,efinance/전금-103-네이버페이.json#EP070네00002
2026-06-29,17:25,지출,생활,마트,마켓컬리,-42900,KRW,프렌즈 체크카드,,P070,P070-T0064,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000026;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000026
2026-06-29,13:28,지출,식비,한식,두끼 노량진역점,-15800,KRW,프렌즈 체크카드,,P070,P070-T0065,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000027;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000027
2026-06-29,13:11,지출,문화/여가,공연/영화,메가박스,-58000,KRW,프렌즈 체크카드,,P070,P070-T0041,소비,P070-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP070000016;card/카드-014-프렌즈_체크카드_매입정보.json#AP070000016
