날짜,시간,타입,대분류,소분류,내용,금액,화폐,결제수단,메모,persona_id,transaction_id,cashflow_bucket,account_ref,api_ref
2026-06-30,14:28,지출,교육/학습,학원/강의,인프런,-79500,KRW,토스뱅크 체크카드,,P055,P055-T0041,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000009;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000009
2026-06-29,23:01,지출,교통,대중교통,서울교통공사,-24600,KRW,프렌즈 체크카드,,P055,P055-T0114,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000035;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000035
2026-06-29,19:46,지출,교육/학습,학원/강의,클래스101,-96100,KRW,토스뱅크 체크카드,,P055,P055-T0124,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000025;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000025
2026-06-29,13:34,지출,식비,배달,요기요,-14200,KRW,네이버페이 간편결제,,P055,P055-T0116,소비,P055-네이버페이,efinance/전금-103-네이버페이.json#EP055네00011
2026-06-29,09:09,지출,교통,대중교통,카카오버스,-13500,KRW,프렌즈 체크카드,,P055,P055-T0018,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000002;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000002
2026-06-28,20:28,지출,교육/학습,학원/강의,클래스101,-130400,KRW,토스뱅크 통장,,P055,P055-T0057,소비,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500020
2026-06-28,18:40,지출,식비,한식,담소소사골순대,-12300,KRW,네이버페이 간편결제,,P055,P055-T0050,소비,P055-네이버페이,efinance/전금-103-네이버페이.json#EP055네00005
2026-06-28,15:55,지출,생활,서비스구독,넷플릭스,-49700,KRW,네이버페이 간편결제,,P055,P055-T0032,소비,P055-네이버페이,efinance/전금-103-네이버페이.json#EP055네00002
2026-06-27,23:07,지출,생활,서비스구독,챗GPT,-21700,KRW,프렌즈 체크카드,,P055,P055-T0079,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000021;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000021
2026-06-27,20:00,지출,온라인쇼핑,인터넷쇼핑,무신사,-65800,KRW,토스 간편결제,,P055,P055-T0068,소비,P055-토스페이,efinance/전금-103-토스페이.json#EP055토00009
2026-06-27,20:00,지출,생활,마트,홈플러스,-27200,KRW,토스뱅크 체크카드,,P055,P055-T0044,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000010;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000010
2026-06-27,16:10,지출,뷰티/미용,화장품,무신사뷰티,-25900,KRW,프렌즈 체크카드,,P055,P055-T0070,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000017;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000017
2026-06-27,13:20,지출,문화/여가,도서,알라딘,-37800,KRW,프렌즈 체크카드,,P055,P055-T0096,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000028;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000028
2026-06-26,19:18,지출,교통,택시,우티,-26000,KRW,토스뱅크 체크카드,,P055,P055-T0081,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000016;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000016
2026-06-26,18:37,지출,식비,배달,주식회사 우아한형제들,-25000,KRW,토스뱅크 체크카드,,P055,P055-T0027,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000005;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000005
2026-06-26,18:15,지출,카페/간식,디저트/떡,배스킨라빈스,-4500,KRW,프렌즈 체크카드,,P055,P055-T0073,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000018;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000018
2026-06-26,11:06,지출,교육/학습,학원/강의,인프런,-63700,KRW,토스뱅크 체크카드,,P055,P055-T0128,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000027;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000027
2026-06-25,12:57,지출,식비,배달,쿠팡이츠,-26300,KRW,토스뱅크 체크카드,,P055,P055-T0033,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000007;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000007
2026-06-25,10:41,지출,생활,통신,휴대폰 요금,-51500,KRW,프렌즈 체크카드,,P055,P055-T0007,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000001;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000001
2026-06-25,10:20,이체,저축,예적금/청약,적금 자동이체,-380000,KRW,토스뱅크 통장,,P055,P055-T0009,저축,P055-BANK-MAIN->P055-BANK-SAVE,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500008;bank/은행-004-세이프박스_P055-BANK-SAVE.json#BP05500001
2026-06-25,09:55,지출,주거,월세/관리비,주거비 자동이체,-450000,KRW,토스뱅크 통장,,P055,P055-T0006,소비,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500006
2026-06-25,09:47,지출,카페/간식,디저트/떡,노티드,-5800,KRW,토스 간편결제,,P055,P055-T0043,소비,P055-토스페이,efinance/전금-103-토스페이.json#EP055토00006
2026-06-24,19:35,지출,식비,배달,쿠팡이츠,-7700,KRW,토스뱅크 체크카드,,P055,P055-T0103,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000018;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000018
2026-06-24,17:21,지출,생활,편의점,GS25,-12300,KRW,토스뱅크 체크카드,,P055,P055-T0109,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000019;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000019
2026-06-24,16:53,지출,교육/학습,학원/강의,해커스,-72600,KRW,토스뱅크 체크카드,,P055,P055-T0112,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000021;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000021
2026-06-24,08:48,지출,교통,대중교통,모바일티머니,-24200,KRW,프렌즈 체크카드,,P055,P055-T0092,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000026;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000026
2026-06-24,08:23,수입,근로소득,급여,6월 월급,2780000,KRW,토스뱅크 통장,,P055,P055-T0001,소득,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#PAYP055
2026-06-23,22:27,지출,문화/여가,도서,알라딘,-23600,KRW,카카오페이 간편결제,,P055,P055-T0060,소비,P055-카카오페이,efinance/전금-103-카카오페이.json#EP055카00002;efinance/전금-004-카카오페이_머니.json#WP05500002
2026-06-23,15:36,지출,패션/쇼핑,패션,지그재그,-43900,KRW,토스뱅크 체크카드,,P055,P055-T0126,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000026;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000026
2026-06-23,12:18,지출,카페/간식,커피/음료,컴포즈커피,-5200,KRW,토스뱅크 통장,,P055,P055-T0063,소비,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500021
2026-06-22,20:13,지출,식비,한식,김밥천국 홍대점,-14000,KRW,카카오페이 간편결제,,P055,P055-T0095,소비,P055-카카오페이,efinance/전금-103-카카오페이.json#EP055카00006
2026-06-22,18:00,지출,카페/간식,커피/음료,이디야커피,-4200,KRW,토스뱅크 통장,,P055,P055-T0083,소비,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500024
2026-06-21,17:05,지출,뷰티/미용,화장품,아모레몰,-49600,KRW,토스뱅크 체크카드,,P055,P055-T0121,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000023;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000023
2026-06-21,14:45,지출,생활,마트,홈플러스,-28600,KRW,토스뱅크 통장,,P055,P055-T0054,소비,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500018
2026-06-20,23:55,지출,온라인쇼핑,인터넷쇼핑,네이버쇼핑,-27700,KRW,프렌즈 체크카드,,P055,P055-T0019,소비,P055-CARD-01,card/카드-008-프렌즈_체크카드_승인내역.json#AP055000003;card/카드-014-프렌즈_체크카드_매입정보.json#AP055000003
2026-06-20,10:46,지출,온라인쇼핑,인터넷쇼핑,무신사,-115800,KRW,토스뱅크 체크카드,,P055,P055-T0020,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000001;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000001
2026-06-19,23:25,지출,문화/여가,도서,교보문고,-40800,KRW,토스뱅크 체크카드,,P055,P055-T0022,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000002;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000002
2026-06-19,20:14,지출,카페/간식,디저트/떡,던킨,-7200,KRW,토스뱅크 통장,,P055,P055-T0099,소비,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500029
2026-06-19,16:00,지출,생활,편의점,세븐일레븐,-58500,KRW,토스 간편결제,,P055,P055-T0016,소비,P055-토스페이,efinance/전금-103-토스페이.json#EP055토00002
2026-06-19,08:32,지출,식비,한식,두끼 노량진역점,-10900,KRW,토스 간편결제,,P055,P055-T0072,소비,P055-토스페이,efinance/전금-103-토스페이.json#EP055토00010
2026-06-18,23:21,지출,온라인쇼핑,인터넷쇼핑,무신사,-20500,KRW,토스 간편결제,,P055,P055-T0055,소비,P055-토스페이,efinance/전금-103-토스페이.json#EP055토00008
2026-06-18,20:24,지출,온라인쇼핑,인터넷쇼핑,무신사,-93700,KRW,토스 간편결제,,P055,P055-T0028,소비,P055-토스페이,efinance/전금-103-토스페이.json#EP055토00004
2026-06-18,20:21,수입,금융수입,캐시백,카드 캐시백,381,KRW,토스뱅크 통장,,P055,P055-T0003,소득,P055-BANK-MAIN,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500003
2026-06-18,20:01,지출,온라인쇼핑,인터넷쇼핑,무신사,-34400,KRW,네이버페이 간편결제,,P055,P055-T0102,소비,P055-네이버페이,efinance/전금-103-네이버페이.json#EP055네00009;efinance/전금-004-네이버페이_머니.json#WP05500003
2026-06-18,15:27,이체,투자,국내주식/ETF,삼성전자 2주 매수,-152100,KRW,토스뱅크 통장,,P055,P055-T0012,투자,P055-BANK-MAIN->P055-INV-001,bank/은행-004-토스뱅크_통장_P055-BANK-MAIN.json#BP05500011;invest/금투-003-신한투자증권_종합계좌.json#STKP0550001
2026-06-17,08:12,지출,카페/간식,디저트/떡,배스킨라빈스,-9400,KRW,토스뱅크 체크카드,,P055,P055-T0030,소비,P055-CARD-02,card/카드-008-토스뱅크_체크카드_승인내역.json#AP055000006;card/카드-014-토스뱅크_체크카드_매입정보.json#AP055000006
